timestamp,record_id,sampling_rate_hz,signal_length,num_channels,duration_sec,output_file,output_size_mb,load_time_s,filter_time_s,baseline_time_s,normalize_time_s,save_time_s,total_time_s,status,error_msg
2025-10-31T12:14:09.543632,021,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/021_preprocessed.npz,63.303,0.552,0.391,0.971,0.105,2.936,4.955,success,
2025-10-31T12:14:13.859205,022,200,14357400,1,71787.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/022_preprocessed.npz,53.186,0.457,0.326,0.878,0.09,2.559,4.31,success,
2025-10-31T12:14:19.187161,023,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/023_preprocessed.npz,63.28,0.552,0.389,1.087,0.105,3.19,5.323,success,
2025-10-31T12:14:24.303298,024,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/024_preprocessed.npz,64.341,0.549,0.39,1.033,0.105,3.034,5.111,success,
2025-10-31T12:14:29.499177,025,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/025_preprocessed.npz,63.905,0.549,0.39,1.057,0.107,3.087,5.19,success,
2025-10-31T12:14:34.709144,026,200,17160000,1,85800.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/026_preprocessed.npz,62.416,0.545,0.39,0.949,0.105,3.214,5.204,success,
2025-10-31T12:14:40.219247,027,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/027_preprocessed.npz,62.437,0.562,0.392,1.055,0.112,3.386,5.505,success,
2025-10-31T12:14:45.387201,028,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/028_preprocessed.npz,62.934,0.548,0.39,0.945,0.105,3.175,5.162,success,
2025-10-31T12:14:50.734909,029,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/029_preprocessed.npz,63.327,0.547,0.391,1.073,0.106,3.224,5.341,success,
2025-10-31T12:14:56.053233,031,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/031_preprocessed.npz,62.834,0.55,0.39,1.048,0.105,3.221,5.313,success,
2025-10-31T12:15:01.128380,032,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/032_preprocessed.npz,63.753,0.546,0.39,0.941,0.105,3.087,5.068,success,
2025-10-31T12:15:06.372849,033,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/033_preprocessed.npz,63.408,0.555,0.391,1.017,0.105,3.17,5.238,success,
2025-10-31T12:15:11.594920,034,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/034_preprocessed.npz,62.817,0.55,0.391,0.958,0.105,3.212,5.215,success,
2025-10-31T12:15:16.905941,035,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/035_preprocessed.npz,63.109,0.555,0.39,1.064,0.105,3.192,5.305,success,
2025-10-31T12:15:22.110792,036,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/036_preprocessed.npz,63.181,0.559,0.39,0.967,0.105,3.176,5.197,success,
2025-10-31T12:15:27.148889,037,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/037_preprocessed.npz,64.2,0.55,0.389,0.971,0.104,3.013,5.027,success,
2025-10-31T12:15:32.413386,038,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/038_preprocessed.npz,63.232,0.549,0.39,0.967,0.104,3.248,5.259,success,
2025-10-31T12:15:37.721909,039,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/039_preprocessed.npz,63.213,0.555,0.391,1.056,0.105,3.194,5.301,success,
2025-10-31T12:15:42.919319,040,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/040_preprocessed.npz,62.913,0.55,0.39,0.963,0.104,3.183,5.19,success,
2025-10-31T12:15:48.151078,041,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/041_preprocessed.npz,63.365,0.552,0.39,0.981,0.105,3.196,5.224,success,
2025-10-31T12:15:53.380791,042,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/042_preprocessed.npz,62.803,0.555,0.39,0.957,0.105,3.217,5.223,success,
2025-10-31T12:15:58.744581,043,200,17340000,1,86700.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/043_preprocessed.npz,62.995,0.555,0.393,1.053,0.105,3.254,5.36,success,
2025-10-31T12:16:04.000857,045,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/045_preprocessed.npz,63.072,0.548,0.39,1.021,0.104,3.187,5.25,success,
2025-10-31T12:16:09.290848,046,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/046_preprocessed.npz,63.465,0.568,0.398,0.996,0.11,3.21,5.283,success,
2025-10-31T12:16:14.521451,047,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/047_preprocessed.npz,62.693,0.548,0.39,1.038,0.104,3.148,5.227,success,
2025-10-31T12:16:19.815771,048,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/048_preprocessed.npz,62.475,0.567,0.398,0.802,0.109,3.414,5.29,success,
2025-10-31T12:16:25.071325,049,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/049_preprocessed.npz,62.155,0.551,0.389,0.909,0.108,3.294,5.25,success,
2025-10-31T12:16:30.295288,050,200,17160000,1,85800.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/050_preprocessed.npz,62.848,0.546,0.392,0.929,0.108,3.244,5.22,success,
2025-10-31T12:16:35.358275,051,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/051_preprocessed.npz,64.424,0.545,0.389,1.031,0.103,2.989,5.058,success,
2025-10-31T12:16:40.436741,052,200,17160000,1,85800.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/052_preprocessed.npz,63.773,0.549,0.389,0.981,0.103,3.051,5.074,success,
2025-10-31T12:16:45.630614,053,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/053_preprocessed.npz,63.54,0.551,0.395,1.018,0.11,3.113,5.187,success,
2025-10-31T12:16:50.975186,054,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/054_preprocessed.npz,62.45,0.57,0.394,0.998,0.104,3.273,5.339,success,
2025-10-31T12:16:56.211649,055,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/055_preprocessed.npz,63.02,0.561,0.394,0.877,0.109,3.29,5.231,success,
2025-10-31T12:17:01.415499,056,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/056_preprocessed.npz,64.006,0.553,0.389,0.954,0.109,3.192,5.197,success,
2025-10-31T12:17:06.629677,057,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/057_preprocessed.npz,63.065,0.574,0.389,0.873,0.104,3.268,5.209,success,
2025-10-31T12:17:11.571525,058,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/058_preprocessed.npz,64.216,0.546,0.391,0.826,0.107,3.064,4.934,success,
2025-10-31T12:17:16.743439,059,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/059_preprocessed.npz,62.593,0.549,0.391,0.915,0.104,3.207,5.166,success,
2025-10-31T12:17:21.982979,060,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/060_preprocessed.npz,63.495,0.546,0.388,1.014,0.104,3.18,5.232,success,
2025-10-31T12:17:27.164049,061,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/061_preprocessed.npz,62.55,0.554,0.39,0.859,0.104,3.266,5.174,success,
2025-10-31T12:17:32.514022,062,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/062_preprocessed.npz,63.044,0.554,0.389,1.053,0.104,3.244,5.345,success,
2025-10-31T12:17:37.856229,063,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/063_preprocessed.npz,62.653,0.574,0.395,0.993,0.109,3.266,5.337,success,
2025-10-31T12:17:43.178536,064,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/064_preprocessed.npz,63.183,0.554,0.392,1.006,0.104,3.261,5.317,success,
2025-10-31T12:17:48.531286,065,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/065_preprocessed.npz,63.377,0.559,0.395,1.039,0.108,3.248,5.348,success,
2025-10-31T12:17:53.698809,066,200,17340000,1,86700.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/066_preprocessed.npz,62.85,0.552,0.392,0.833,0.104,3.278,5.159,success,
2025-10-31T12:17:58.891739,067,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/067_preprocessed.npz,62.515,0.557,0.389,0.902,0.107,3.232,5.188,success,
2025-10-31T12:18:04.150014,068,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/068_preprocessed.npz,62.744,0.552,0.389,0.932,0.105,3.275,5.253,success,
2025-10-31T12:18:09.224934,069,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/069_preprocessed.npz,63.216,0.555,0.389,0.853,0.104,3.169,5.07,success,
2025-10-31T12:18:14.448766,070,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/070_preprocessed.npz,62.319,0.545,0.39,0.924,0.104,3.257,5.22,success,
2025-10-31T12:18:19.724093,071,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/071_preprocessed.npz,62.949,0.555,0.392,1.001,0.104,3.219,5.271,success,
2025-10-31T12:18:25.013866,073,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/073_preprocessed.npz,62.976,0.545,0.388,1.03,0.103,3.22,5.286,success,
2025-10-31T12:18:30.108925,077,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/077_preprocessed.npz,63.391,0.554,0.392,0.879,0.105,3.159,5.089,success,
2025-10-31T12:18:35.307403,079,200,17340000,1,86700.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/079_preprocessed.npz,62.838,0.549,0.393,0.923,0.107,3.22,5.192,success,
2025-10-31T12:18:40.586213,080,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/080_preprocessed.npz,63.142,0.558,0.395,0.98,0.105,3.234,5.272,success,
2025-10-31T12:18:45.784897,081,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/081_preprocessed.npz,63.179,0.595,0.408,0.914,0.106,3.172,5.195,success,
2025-10-31T12:18:51.250988,083,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/083_preprocessed.npz,62.387,0.546,0.39,1.045,0.105,3.372,5.458,success,
2025-10-31T12:18:56.494990,084,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/084_preprocessed.npz,63.651,0.552,0.391,0.903,0.109,3.284,5.239,success,
2025-10-31T12:19:01.894026,085,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/085_preprocessed.npz,62.014,0.555,0.389,1.02,0.104,3.325,5.393,success,
2025-10-31T12:19:07.209251,086,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/086_preprocessed.npz,63.214,0.555,0.389,1.026,0.109,3.23,5.309,success,
2025-10-31T12:19:12.390397,087,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/087_preprocessed.npz,63.011,0.59,0.397,0.822,0.11,3.257,5.176,success,
2025-10-31T12:19:17.548451,088,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/088_preprocessed.npz,62.931,0.554,0.395,0.871,0.105,3.224,5.15,success,
2025-10-31T12:19:22.553047,090,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/090_preprocessed.npz,63.513,0.543,0.389,0.873,0.104,3.091,5.0,success,
2025-10-31T12:19:27.755687,092,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/092_preprocessed.npz,62.757,0.549,0.39,0.916,0.104,3.236,5.196,success,
2025-10-31T12:19:32.891053,093,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/093_preprocessed.npz,62.652,0.545,0.39,0.86,0.106,3.229,5.13,success,
2025-10-31T12:19:38.066426,094,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/094_preprocessed.npz,62.938,0.55,0.389,0.917,0.105,3.207,5.169,success,
2025-10-31T12:19:43.325253,095,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/095_preprocessed.npz,63.254,0.548,0.391,1.035,0.107,3.172,5.253,success,
2025-10-31T12:19:48.511325,096,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/096_preprocessed.npz,63.369,0.55,0.393,0.948,0.107,3.183,5.181,success,
2025-10-31T12:19:53.762685,097,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/097_preprocessed.npz,63.303,0.557,0.395,0.997,0.104,3.19,5.245,success,
2025-10-31T12:19:58.994282,098,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/098_preprocessed.npz,63.073,0.567,0.395,0.94,0.105,3.218,5.225,success,
2025-10-31T12:20:04.233699,099,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/099_preprocessed.npz,63.328,0.551,0.39,0.983,0.107,3.203,5.234,success,
2025-10-31T12:20:09.505731,100,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/100_preprocessed.npz,63.157,0.568,0.394,0.913,0.109,3.282,5.266,success,
2025-10-31T12:20:14.799264,101,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/101_preprocessed.npz,64.194,0.586,0.403,1.011,0.112,3.177,5.288,success,
2025-10-31T12:20:19.887286,102,200,16944000,1,84720.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/102_preprocessed.npz,61.845,0.538,0.384,0.834,0.103,3.223,5.083,success,
2025-10-31T12:20:25.086381,103,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/103_preprocessed.npz,63.981,0.562,0.395,1.047,0.104,3.086,5.194,success,
2025-10-31T12:20:30.005461,104,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/104_preprocessed.npz,63.995,0.563,0.394,0.841,0.105,3.011,4.914,success,
2025-10-31T12:20:35.226317,105,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/105_preprocessed.npz,64.146,0.572,0.394,0.995,0.104,3.149,5.215,success,
2025-10-31T12:20:40.459202,106,200,17160000,1,85800.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/106_preprocessed.npz,62.269,0.56,0.392,0.932,0.103,3.239,5.226,success,
2025-10-31T12:20:42.399815,107,200,6480000,1,32400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/107_preprocessed.npz,23.538,0.21,0.144,0.31,0.036,1.233,1.932,success,
2025-10-31T12:20:47.407519,108,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/108_preprocessed.npz,63.973,0.56,0.397,0.877,0.106,3.062,5.003,success,
2025-10-31T12:20:52.666525,109,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/109_preprocessed.npz,62.77,0.549,0.391,1.004,0.105,3.206,5.254,success,
2025-10-31T12:20:57.993615,110,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/110_preprocessed.npz,62.902,0.55,0.39,1.079,0.106,3.197,5.321,success,
2025-10-31T12:21:03.242827,111,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/111_preprocessed.npz,62.895,0.555,0.389,0.98,0.105,3.213,5.243,success,
2025-10-31T12:21:08.469916,112,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/112_preprocessed.npz,62.86,0.543,0.388,1.089,0.104,3.096,5.221,success,
2025-10-31T12:21:13.574331,113,200,17088000,1,85440.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/113_preprocessed.npz,62.196,0.546,0.385,0.889,0.103,3.176,5.099,success,
2025-10-31T12:21:18.826775,114,200,17316000,1,86580.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/114_preprocessed.npz,62.826,0.553,0.392,1.003,0.107,3.189,5.245,success,
2025-10-31T12:21:24.272471,115,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/115_preprocessed.npz,62.901,0.552,0.39,1.179,0.104,3.213,5.439,success,
2025-10-31T12:21:29.423413,116,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/116_preprocessed.npz,64.307,0.554,0.389,1.088,0.105,3.01,5.146,success,
2025-10-31T12:21:34.618138,117,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/117_preprocessed.npz,63.063,0.549,0.389,0.928,0.105,3.216,5.188,success,
2025-10-31T12:21:39.712755,118,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/118_preprocessed.npz,62.919,0.548,0.389,0.863,0.104,3.186,5.089,success,
2025-10-31T12:21:44.903220,122,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/122_preprocessed.npz,63.363,0.551,0.39,0.958,0.105,3.18,5.185,success,
2025-10-31T12:21:50.179094,124,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/124_preprocessed.npz,62.931,0.552,0.39,1.036,0.105,3.187,5.271,success,
2025-10-31T12:21:55.353860,125,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/125_preprocessed.npz,63.611,0.554,0.391,1.053,0.105,3.068,5.17,success,
2025-10-31T12:22:00.383028,126,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/126_preprocessed.npz,64.762,0.553,0.389,1.033,0.104,2.943,5.022,success,
2025-10-31T12:22:05.662739,127,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/127_preprocessed.npz,63.069,0.551,0.389,1.048,0.106,3.181,5.275,success,
2025-10-31T12:22:10.718673,128,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/128_preprocessed.npz,64.149,0.553,0.389,0.91,0.105,3.093,5.051,success,
2025-10-31T12:22:16.011108,129,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/129_preprocessed.npz,63.313,0.56,0.389,1.068,0.104,3.163,5.285,success,
2025-10-31T12:22:21.275352,130,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/130_preprocessed.npz,63.114,0.549,0.39,1.052,0.104,3.162,5.259,success,
2025-10-31T12:22:26.404376,131,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/131_preprocessed.npz,63.953,0.555,0.389,0.966,0.104,3.107,5.122,success,
2025-10-31T12:22:31.690304,132,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/132_preprocessed.npz,62.711,0.545,0.389,1.033,0.106,3.208,5.281,success,
2025-10-31T12:22:36.953383,133,200,17220000,1,86100.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/133_preprocessed.npz,62.98,0.547,0.395,1.066,0.103,3.148,5.259,success,
2025-10-31T12:22:42.075272,134,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/134_preprocessed.npz,63.333,0.548,0.389,0.892,0.106,3.182,5.117,success,
2025-10-31T12:22:47.370268,135,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/135_preprocessed.npz,63.78,0.555,0.39,1.055,0.104,3.185,5.289,success,
2025-10-31T12:22:52.724575,136,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/136_preprocessed.npz,63.363,0.575,0.395,1.018,0.109,3.247,5.345,success,
2025-10-31T12:22:58.003008,137,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/137_preprocessed.npz,63.618,0.555,0.393,1.042,0.106,3.178,5.274,success,
2025-10-31T12:23:03.291180,138,200,17280000,1,86400.0,../../../../local3/sswee/data/shdbaf/physionet.org/files/shdb-af/preprocessed/138_preprocessed.npz,62.97,0.552,0.39,0.913,0.105,3.324,5.283,success,
